price,country,wine_type,grape,style,rating
18.13,Spain,Red,Sauvignon Blanc,Fresh,92.5
5.85,Spain,Red,Chardonnay,Complex,93.3
7.65,Australia,Red,Grenache,Elegant,92.0
1.73,USA,Rosé,Pinot Noir,Smooth,88.3
94.4,Spain,Red,Pinot Noir,Fresh,96.9
7.54,Australia,White,Chardonnay,Smooth,91.9
5.38,Australia,Rosé,Pinot Noir,Elegant,90.0
4.69,USA,White,Riesling,Elegant,91.3
4.21,Argentina,White,Grenache,Smooth,88.3
21.99,Chile,Rosé,Syrah,Elegant,92.5
5.43,Italy,Rosé,Sauvignon Blanc,Complex,89.2
4.15,USA,Red,Syrah,Bold,90.1
19.41,Spain,Rosé,Cabernet Sauvignon,Crisp,91.7
10.32,France,Rosé,Syrah,Complex,93.4
5.95,Argentina,Rosé,Sangiovese,Bold,88.3
23.34,Spain,Rosé,Cabernet Sauvignon,Crisp,93.0
16.27,France,Red,Grenache,Fresh,93.3
11.84,France,Rosé,Grenache,Light,94.1
4.04,Argentina,Red,Chardonnay,Bold,89.2
25.1,Argentina,Rosé,Chardonnay,Bold,91.5
10.28,Chile,White,Grenache,Bold,89.8
7.48,USA,White,Grenache,Fresh,90.4
9.51,France,Red,Syrah,Crisp,93.9
33.75,France,Rosé,Tempranillo,Elegant,95.5
1.46,Australia,Red,Pinot Noir,Light,87.4
17.5,Chile,Red,Chardonnay,Rich,92.4
12.03,USA,White,Tempranillo,Light,90.9
6.64,France,Rosé,Cabernet Sauvignon,Light,90.7
7.19,Australia,Red,Cabernet Sauvignon,Crisp,90.0
15.97,Italy,White,Tempranillo,Smooth,96.5
10.26,France,Rosé,Riesling,Complex,93.3
16.2,Chile,Rosé,Cabernet Sauvignon,Rich,90.5
5.52,Australia,Rosé,Chardonnay,Smooth,87.3
3.52,Argentina,Red,Cabernet Sauvignon,Complex,91.7
20.01,France,Rosé,Syrah,Rich,93.7
14.36,Italy,Rosé,Tempranillo,Smooth,88.4
3.1,France,White,Sauvignon Blanc,Bold,91.5
10.83,France,Rosé,Pinot Noir,Complex,95.1
13.29,Chile,Red,Sangiovese,Smooth,91.4
14.6,Spain,White,Syrah,Crisp,92.1
10.87,Spain,Red,Syrah,Smooth,87.9
5.59,Australia,Rosé,Pinot Noir,Rich,91.0
17.02,Spain,Rosé,Riesling,Fresh,86.9
18.76,Chile,Red,Pinot Noir,Elegant,90.9
10.88,Australia,White,Cabernet Sauvignon,Smooth,92.5
24.05,USA,Red,Pinot Noir,Smooth,95.1
12.6,France,White,Sauvignon Blanc,Elegant,94.8
11.03,Australia,Rosé,Pinot Noir,Smooth,91.3
8.48,Australia,Rosé,Cabernet Sauvignon,Complex,93.8
1.91,Italy,Rosé,Riesling,Light,85.8
20.25,Argentina,White,Grenache,Light,87.9
24.69,France,Rosé,Riesling,Complex,95.5
2.88,Italy,Rosé,Merlot,Rich,90.1
6.78,Argentina,Red,Chardonnay,Bold,91.2
7.81,Spain,Rosé,Merlot,Light,87.9
55.24,Spain,Red,Grenache,Fresh,93.7
8.76,Italy,White,Riesling,Crisp,91.5
12.83,Australia,Red,Tempranillo,Smooth,89.9
8.91,Chile,Rosé,Pinot Noir,Fresh,89.2
11.18,Spain,White,Tempranillo,Light,88.9
18.25,Australia,Red,Grenache,Light,93.5
8.33,Chile,White,Syrah,Complex,90.9
14.11,Australia,Rosé,Sauvignon Blanc,Elegant,93.4
4.73,Chile,Red,Sauvignon Blanc,Fresh,89.6
10.08,Italy,White,Sauvignon Blanc,Fresh,95.4
8.29,Australia,Rosé,Grenache,Light,84.0
12.2,Australia,Red,Chardonnay,Complex,96.5
14.29,France,Rosé,Chardonnay,Complex,94.1
22.18,France,Red,Pinot Noir,Crisp,97.8
10.79,France,White,Merlot,Bold,94.9
15.25,France,White,Sangiovese,Bold,93.2
7.6,USA,White,Sauvignon Blanc,Light,91.8
25.02,USA,Red,Sauvignon Blanc,Bold,96.1
6.28,France,Rosé,Cabernet Sauvignon,Crisp,88.6
2.91,Argentina,Rosé,Sauvignon Blanc,Smooth,83.7
42.19,France,Rosé,Syrah,Elegant,95.6
12.3,France,White,Pinot Noir,Rich,95.9
8.77,USA,White,Chardonnay,Crisp,92.3
6.16,Australia,Rosé,Syrah,Smooth,88.6
30.77,Argentina,Red,Tempranillo,Bold,95.4
15.79,Spain,White,Syrah,Light,93.9
13.09,Chile,Rosé,Sangiovese,Light,88.3
24.75,Italy,Red,Sauvignon Blanc,Elegant,96.0
30.68,Argentina,Rosé,Syrah,Bold,90.9
7.16,Argentina,Rosé,Riesling,Fresh,90.7
24.19,Argentina,White,Pinot Noir,Bold,92.1
12.0,Italy,Red,Syrah,Fresh,92.4
18.46,Chile,Red,Cabernet Sauvignon,Rich,95.9
9.26,Chile,White,Sauvignon Blanc,Complex,93.4
14.57,Australia,Rosé,Pinot Noir,Smooth,90.4
6.95,France,Red,Riesling,Elegant,92.9
38.45,Spain,White,Sangiovese,Elegant,93.9
70.23,Italy,White,Sangiovese,Light,92.9
6.65,Australia,Red,Chardonnay,Complex,92.0
8.2,France,Red,Sauvignon Blanc,Smooth,93.1
3.63,Australia,White,Pinot Noir,Bold,90.9
11.04,Australia,Rosé,Syrah,Light,90.1
4.55,France,White,Cabernet Sauvignon,Light,90.4
3.09,Chile,Rosé,Cabernet Sauvignon,Bold,90.0
14.51,Australia,Rosé,Sauvignon Blanc,Elegant,91.4
13.92,Australia,Red,Grenache,Light,92.9
4.13,France,White,Cabernet Sauvignon,Crisp,88.6
6.06,France,Red,Sangiovese,Complex,94.3
12.17,Chile,White,Pinot Noir,Crisp,88.1
25.78,USA,Red,Syrah,Rich,94.4
20.42,Italy,Rosé,Pinot Noir,Fresh,94.8
28.41,Chile,Rosé,Pinot Noir,Fresh,87.2
16.25,France,Rosé,Tempranillo,Light,95.0
3.12,Australia,White,Riesling,Bold,89.2
4.86,Spain,Rosé,Pinot Noir,Fresh,87.0
5.05,France,Rosé,Pinot Noir,Crisp,90.2
5.54,Italy,Rosé,Pinot Noir,Bold,91.4
7.97,Australia,White,Sauvignon Blanc,Elegant,90.6
11.18,Italy,White,Merlot,Rich,90.8
58.66,France,White,Syrah,Fresh,96.2
6.96,Chile,Rosé,Cabernet Sauvignon,Light,87.3
14.05,Argentina,Rosé,Sangiovese,Elegant,91.4
22.53,Chile,White,Grenache,Elegant,91.7
24.37,Spain,Rosé,Merlot,Light,91.3
4.78,France,Rosé,Sauvignon Blanc,Smooth,86.8
7.26,USA,Red,Cabernet Sauvignon,Bold,90.8
46.98,Spain,Red,Merlot,Fresh,96.5
42.53,Argentina,Red,Pinot Noir,Light,93.6
6.05,Italy,White,Sangiovese,Crisp,86.8
12.46,France,Red,Riesling,Bold,95.3
8.44,USA,White,Sangiovese,Fresh,90.0
23.06,Argentina,White,Riesling,Rich,92.6
51.22,Chile,Red,Merlot,Fresh,93.7
3.01,Australia,Red,Riesling,Light,93.4
6.62,France,Red,Cabernet Sauvignon,Light,88.2
10.27,Chile,Rosé,Chardonnay,Bold,89.9
7.23,Italy,White,Sauvignon Blanc,Fresh,91.1
3.97,Italy,Red,Sauvignon Blanc,Rich,92.2
18.61,Chile,Rosé,Pinot Noir,Elegant,94.7
7.79,Australia,Rosé,Syrah,Light,91.1
18.0,Australia,Rosé,Syrah,Bold,94.9
8.25,Australia,Red,Sauvignon Blanc,Crisp,89.4
15.36,USA,Red,Grenache,Rich,98.6
8.16,Chile,Rosé,Riesling,Rich,93.0
12.36,France,Red,Cabernet Sauvignon,Fresh,97.4
23.65,Spain,Rosé,Pinot Noir,Elegant,88.9
13.9,Italy,Rosé,Cabernet Sauvignon,Smooth,92.4
17.88,Australia,White,Syrah,Rich,95.9
26.47,France,White,Chardonnay,Elegant,98.0
11.69,Italy,Red,Riesling,Elegant,98.6
2.02,Australia,Rosé,Sangiovese,Bold,88.8
1.56,Australia,White,Pinot Noir,Crisp,85.1
47.7,Spain,Red,Chardonnay,Crisp,94.8
11.14,Chile,Rosé,Grenache,Elegant,91.5
22.41,Chile,White,Syrah,Rich,92.6
13.3,USA,Red,Sangiovese,Bold,95.6
6.47,USA,Rosé,Grenache,Rich,91.7
43.58,France,White,Tempranillo,Rich,95.5
92.85,Australia,Rosé,Syrah,Bold,96.1
28.7,Australia,White,Syrah,Crisp,90.5
24.09,Spain,White,Merlot,Fresh,87.7
33.65,France,Rosé,Pinot Noir,Elegant,94.4
12.12,Chile,Red,Sangiovese,Rich,89.4
28.92,Chile,White,Merlot,Bold,89.0
17.4,France,Red,Chardonnay,Elegant,96.7
13.3,France,Rosé,Cabernet Sauvignon,Complex,97.4
12.32,Spain,Rosé,Cabernet Sauvignon,Bold,91.0
29.05,Spain,White,Cabernet Sauvignon,Elegant,93.9
14.7,Chile,Red,Merlot,Elegant,97.0
4.75,France,Red,Tempranillo,Fresh,92.5
6.28,Spain,White,Merlot,Smooth,91.5
32.39,Spain,Rosé,Sangiovese,Elegant,89.6
23.34,Spain,Red,Sangiovese,Light,88.5
33.11,USA,Red,Riesling,Bold,96.8
3.14,Italy,Rosé,Grenache,Fresh,86.5
21.14,Australia,Rosé,Chardonnay,Bold,93.0
25.51,Argentina,Red,Chardonnay,Crisp,91.1
6.93,Argentina,Rosé,Chardonnay,Bold,86.1
31.44,France,White,Sauvignon Blanc,Smooth,93.6
9.17,Chile,Rosé,Tempranillo,Complex,91.9
11.57,France,White,Syrah,Complex,93.2
6.45,France,White,Riesling,Crisp,94.0
5.28,Australia,Red,Merlot,Fresh,89.9
26.05,Australia,White,Chardonnay,Rich,94.6
16.89,France,White,Grenache,Smooth,90.2
14.95,USA,Red,Syrah,Bold,96.4
2.79,Italy,White,Merlot,Smooth,86.5
13.71,Australia,Red,Sangiovese,Crisp,90.8
35.63,Argentina,Rosé,Riesling,Light,88.4
18.47,Chile,Red,Sangiovese,Rich,92.6
15.46,Spain,Rosé,Chardonnay,Crisp,86.0
16.44,Italy,Red,Syrah,Rich,92.5
5.28,Australia,Rosé,Sangiovese,Light,83.8
6.44,Italy,Red,Pinot Noir,Elegant,93.6
26.8,France,Red,Cabernet Sauvignon,Light,93.4
14.5,USA,White,Sangiovese,Crisp,95.2
23.41,Argentina,Red,Riesling,Complex,96.5
8.47,France,Rosé,Grenache,Rich,93.5
17.18,Argentina,White,Sauvignon Blanc,Elegant,93.1
5.13,Italy,Rosé,Tempranillo,Bold,92.4
30.06,Argentina,Rosé,Merlot,Crisp,89.6
3.96,USA,Red,Merlot,Crisp,90.8
5.29,Argentina,Rosé,Tempranillo,Fresh,89.9
14.02,Chile,Red,Merlot,Rich,95.1
15.08,Chile,White,Tempranillo,Crisp,91.2
13.01,Spain,Rosé,Tempranillo,Elegant,94.3
32.41,Australia,White,Sauvignon Blanc,Smooth,91.6
25.43,Argentina,Red,Grenache,Elegant,95.1
3.17,Australia,Red,Cabernet Sauvignon,Crisp,84.8
2.75,Italy,White,Sauvignon Blanc,Rich,89.4
17.6,Argentina,Red,Cabernet Sauvignon,Rich,92.2
5.17,Italy,Red,Sauvignon Blanc,Crisp,91.7
15.17,Argentina,White,Sangiovese,Crisp,89.5
11.27,USA,Red,Riesling,Bold,94.0
10.99,France,Red,Grenache,Crisp,91.8
17.72,Chile,Rosé,Tempranillo,Rich,91.8
90.14,France,Red,Grenache,Crisp,97.9
23.03,Spain,Rosé,Riesling,Bold,94.4
14.33,France,White,Sauvignon Blanc,Light,89.3
2.02,Spain,Red,Syrah,Crisp,85.7
18.82,Australia,Rosé,Merlot,Complex,96.0
10.09,Italy,White,Sauvignon Blanc,Smooth,91.8
12.61,Spain,White,Pinot Noir,Complex,96.1
18.84,Australia,Red,Cabernet Sauvignon,Elegant,98.9
29.41,USA,Red,Syrah,Bold,95.9
18.21,Italy,Rosé,Riesling,Smooth,93.5
10.66,Spain,Red,Tempranillo,Fresh,92.0
6.37,Italy,Red,Cabernet Sauvignon,Rich,94.4
4.1,USA,Red,Pinot Noir,Complex,95.3
15.08,Italy,Red,Merlot,Fresh,92.6
4.72,Australia,Red,Riesling,Smooth,89.3
18.45,USA,Rosé,Cabernet Sauvignon,Smooth,90.6
13.55,France,White,Grenache,Complex,94.8
7.79,Australia,Rosé,Cabernet Sauvignon,Elegant,91.9
30.24,Spain,White,Tempranillo,Light,90.9
11.13,USA,Red,Pinot Noir,Bold,91.4
13.08,Australia,Red,Chardonnay,Complex,97.5
14.81,Chile,Rosé,Pinot Noir,Rich,89.3
17.2,Australia,Rosé,Chardonnay,Elegant,93.2
9.25,Spain,Red,Grenache,Smooth,94.5
25.89,Spain,Red,Syrah,Complex,98.2
26.06,Spain,White,Syrah,Rich,92.8
44.76,Argentina,Rosé,Sauvignon Blanc,Complex,89.6
14.26,Chile,Rosé,Syrah,Elegant,92.7
7.09,Chile,Red,Riesling,Elegant,95.5
24.84,Spain,Red,Cabernet Sauvignon,Complex,93.0
58.57,Italy,White,Riesling,Complex,97.4
32.21,USA,White,Syrah,Complex,98.4
25.84,France,Red,Syrah,Elegant,99.2
12.15,Chile,Red,Grenache,Complex,91.7
6.04,Australia,White,Cabernet Sauvignon,Bold,90.7
10.56,Italy,White,Tempranillo,Light,89.2
26.87,Italy,White,Tempranillo,Smooth,94.8
15.19,Spain,Rosé,Riesling,Rich,89.8
51.91,Italy,White,Chardonnay,Elegant,97.6
9.32,Spain,White,Grenache,Elegant,97.3
64.08,France,White,Merlot,Elegant,96.9
48.7,France,Red,Pinot Noir,Light,97.9
9.18,Australia,Red,Tempranillo,Bold,88.4
11.95,Italy,White,Merlot,Crisp,95.2
12.56,Italy,Rosé,Pinot Noir,Bold,92.3
9.92,Chile,Red,Grenache,Bold,88.3
16.56,USA,White,Chardonnay,Smooth,94.7
3.49,Australia,White,Chardonnay,Light,91.5
34.94,Argentina,White,Pinot Noir,Crisp,92.0
5.99,Spain,Red,Merlot,Complex,90.9
8.23,Italy,White,Tempranillo,Light,91.5
15.78,Australia,Red,Riesling,Smooth,91.9
44.17,Argentina,Red,Chardonnay,Light,89.3
15.1,France,Red,Merlot,Crisp,92.0
4.32,USA,Red,Tempranillo,Fresh,93.3
17.23,Chile,White,Grenache,Bold,91.1
27.03,France,Red,Chardonnay,Complex,97.6
40.47,Chile,Red,Sauvignon Blanc,Fresh,95.1
9.42,France,Rosé,Riesling,Smooth,95.6
8.06,Chile,White,Syrah,Fresh,89.3
4.53,Australia,Red,Sauvignon Blanc,Rich,92.3
7.61,Italy,Red,Merlot,Complex,95.1
3.54,Spain,White,Tempranillo,Smooth,89.5
5.19,Chile,Red,Chardonnay,Complex,92.5
12.82,Italy,Red,Cabernet Sauvignon,Fresh,93.3
7.4,Australia,Rosé,Riesling,Fresh,92.8
24.44,Italy,Rosé,Grenache,Elegant,95.4
83.32,Argentina,Red,Sangiovese,Rich,95.7
29.5,Spain,Rosé,Sauvignon Blanc,Complex,97.1
6.57,USA,White,Merlot,Complex,94.4
27.22,France,Red,Syrah,Crisp,94.1
10.02,Chile,White,Pinot Noir,Elegant,93.5
22.92,France,White,Riesling,Fresh,93.5
4.38,Australia,Rosé,Syrah,Rich,85.7
7.31,USA,White,Grenache,Crisp,87.3
45.31,Italy,White,Syrah,Crisp,95.6
20.04,Italy,White,Sauvignon Blanc,Bold,94.1
4.83,Italy,Red,Chardonnay,Fresh,88.1
27.6,Chile,White,Sauvignon Blanc,Fresh,87.3
25.36,Australia,Rosé,Syrah,Smooth,91.1
10.47,Italy,White,Chardonnay,Complex,95.8
62.76,Australia,Rosé,Pinot Noir,Complex,96.8
25.4,Italy,White,Cabernet Sauvignon,Bold,91.3
5.55,Spain,Rosé,Grenache,Fresh,88.0
53.37,France,White,Grenache,Complex,99.4
11.99,Argentina,White,Cabernet Sauvignon,Smooth,91.1
13.47,Spain,Red,Tempranillo,Elegant,93.3
12.67,France,White,Syrah,Fresh,93.2
3.97,Australia,White,Sangiovese,Complex,95.3
4.5,Australia,White,Sangiovese,Crisp,86.6
17.26,France,White,Pinot Noir,Smooth,95.5
10.02,Australia,Rosé,Cabernet Sauvignon,Crisp,86.4
11.42,Australia,Red,Riesling,Complex,97.1
5.2,Argentina,Rosé,Grenache,Rich,86.8
39.16,Chile,Red,Merlot,Complex,93.0
16.97,Spain,White,Riesling,Bold,91.1
26.61,Argentina,White,Pinot Noir,Smooth,93.8
19.21,Argentina,Red,Chardonnay,Complex,98.2
30.1,France,Red,Riesling,Rich,100.0
5.38,USA,White,Sauvignon Blanc,Smooth,94.5
14.69,Chile,White,Pinot Noir,Elegant,89.3
10.0,Chile,White,Merlot,Fresh,86.5
3.67,Spain,White,Tempranillo,Elegant,87.9
24.4,Italy,Red,Syrah,Fresh,90.8
5.86,France,Rosé,Cabernet Sauvignon,Complex,93.7
29.17,Chile,Red,Tempranillo,Smooth,94.0
24.34,France,Red,Sauvignon Blanc,Smooth,96.9
6.69,Argentina,Red,Sauvignon Blanc,Complex,93.3
4.52,Australia,White,Chardonnay,Rich,90.1
7.06,France,Red,Merlot,Crisp,89.6
12.78,Spain,White,Tempranillo,Light,86.9
16.62,Spain,White,Riesling,Smooth,96.6
8.95,Argentina,Red,Grenache,Elegant,93.3
8.58,Italy,White,Riesling,Crisp,92.6
7.14,France,Rosé,Sauvignon Blanc,Crisp,91.9
18.71,Italy,White,Chardonnay,Light,90.1
29.04,France,Red,Riesling,Rich,97.7
11.94,Chile,White,Chardonnay,Crisp,90.6
6.43,Australia,White,Chardonnay,Rich,91.4
11.17,USA,Red,Chardonnay,Light,91.7
21.77,Australia,Rosé,Merlot,Smooth,90.2
